cantonlock_slug,cantonlock_model,cantonlock_spec_rows,stahlock_id,stahlock_url,stahlock_model,label,stahlock_value,type,cantonlock_existing,evidence
102-glass-door-handle,102,3,2215,https://stahlock.com/index.php?id=2215,102,Finish,Satin + Polished,conflict,Satin+Polished,Finish: Satin + Polished
104-glass-door-handle,104,3,2216,https://stahlock.com/index.php?id=2216,104,Material,SUS 304 Stainless Steel,conflict,304 stainless steel,Material: SUS 304 Stainless Steel
104-glass-door-handle,104,3,2216,https://stahlock.com/index.php?id=2216,104,Tube Thickness,0.8 mm or 1.0 mm,new,,Tube Thickness: 0.8 mm or 1.0 mm
104-glass-door-handle,104,3,2216,https://stahlock.com/index.php?id=2216,104,Door Thickness,10–12 mm,new,,Door Thickness: 10–12 mm
104-glass-door-handle,104,3,2216,https://stahlock.com/index.php?id=2216,104,Size,Ø32 × 300 × 600 mm,conflict,32x300x600 mm,Size: Ø32 × 300 × 600 mm
104-glass-door-handle,104,3,2216,https://stahlock.com/index.php?id=2216,104,Finish,Satin + Polished,conflict,Satin+Polished,Finish: Satin + Polished
106-glass-door-handle,106,3,2218,https://stahlock.com/index.php?id=2218,106,Material,SUS304 Stainless Steel,conflict,304 stainless steel,Material: SUS304 Stainless Steel
106-glass-door-handle,106,3,2218,https://stahlock.com/index.php?id=2218,106,Tube Thickness,1.0 mm (also available in 0.8 mm),new,,Tube Thickness: 1.0 mm (also available in 0.8 mm)
106-glass-door-handle,106,3,2218,https://stahlock.com/index.php?id=2218,106,Door Thickness,10–12 mm,new,,Door Thickness: 10–12 mm
106-glass-door-handle,106,3,2218,https://stahlock.com/index.php?id=2218,106,Size,32 × 300 × 600 mm,conflict,32x300x600 mm,Size: 32 × 300 × 600 mm
106-glass-door-handle,106,3,2218,https://stahlock.com/index.php?id=2218,106,Finish,Satin + Polished,conflict,Satin+Polished,Finish: Satin + Polished
107-glass-door-handle,107,3,2219,https://stahlock.com/index.php?id=2219,107,Material,SUS304 Stainless Steel + Acrylic,conflict,304 stainless steel,Material: SUS304 Stainless Steel + Acrylic
107-glass-door-handle,107,3,2219,https://stahlock.com/index.php?id=2219,107,Tube Thickness,1.0 mm (optional: 0.8 mm),new,,Tube Thickness: 1.0 mm (optional: 0.8 mm)
107-glass-door-handle,107,3,2219,https://stahlock.com/index.php?id=2219,107,Door Thickness,10–12 mm,new,,Door Thickness: 10–12 mm
107-glass-door-handle,107,3,2219,https://stahlock.com/index.php?id=2219,107,Size,32 × 300 × 600 mm,conflict,32x300x600 mm,Size: 32 × 300 × 600 mm
107-glass-door-handle,107,3,2219,https://stahlock.com/index.php?id=2219,107,Finish,Satin Stainless Steel + Acrylic Center,conflict,Satin SS +Middle Part Acrylic,Finish: Satin Stainless Steel + Acrylic Center
1073d-night-latch-and-rim-lock,1073D,11,2123,https://stahlock.com/index.php?id=2123,1073D,Material,"Iron case with zinc-plated steel internal components, brass latch and cylinder, 3 brass keys",conflict,"Iron case, steel base internal components with zinc plated, 3 pcs brass keys , brass latch and cylinder","Material: Iron case with zinc-plated steel internal components, brass latch and cylinder, 3 brass keys"
1073d-night-latch-and-rim-lock,1073D,11,2123,https://stahlock.com/index.php?id=2123,1073D,Color,Gray spray-painted (custom colors available),conflict,"Gray spray painted, other available",Color: Gray spray-painted (custom colors available)
1073d-night-latch-and-rim-lock,1073D,11,2123,https://stahlock.com/index.php?id=2123,1073D,Latch,Brass rolling latch,new,,Latch: Brass rolling latch
1073d-night-latch-and-rim-lock,1073D,11,2123,https://stahlock.com/index.php?id=2123,1073D,Opening,Double-side,new,,Opening: Double-side
1073d-night-latch-and-rim-lock,1073D,11,2123,https://stahlock.com/index.php?id=2123,1073D,Handing,Reversible for left or right hand doors,conflict,"Fully reversible, left or right hand",Handing: Reversible for left or right hand doors
1073d-night-latch-and-rim-lock,1073D,11,2123,https://stahlock.com/index.php?id=2123,1073D,Door Thickness,Standard 35–55mm (optional 30–60mm),conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: Standard 35–55mm (optional 30–60mm)
1073d-night-latch-and-rim-lock,1073D,11,2123,https://stahlock.com/index.php?id=2123,1073D,Application,Residential use,new,,Application: Residential use
1073s-night-latch-and-rim-lock,1073S,11,2122,https://stahlock.com/index.php?id=2122,1073S,Material,"Iron case with steel internal components (zinc plated), brass latch and cylinder, 3 brass keys",conflict,"Iron case, steel base internal components with zinc plated finish, 3 pcs brass keys , brass latch and cylinder","Material: Iron case with steel internal components (zinc plated), brass latch and cylinder, 3 brass keys"
1073s-night-latch-and-rim-lock,1073S,11,2122,https://stahlock.com/index.php?id=2122,1073S,Color,Gray spray-painted (other colors available),conflict,"Gray spray painted, other available",Color: Gray spray-painted (other colors available)
1073s-night-latch-and-rim-lock,1073S,11,2122,https://stahlock.com/index.php?id=2122,1073S,Latch,Brass rolling latch,new,,Latch: Brass rolling latch
1073s-night-latch-and-rim-lock,1073S,11,2122,https://stahlock.com/index.php?id=2122,1073S,Opening,Single-side,new,,Opening: Single-side
1073s-night-latch-and-rim-lock,1073S,11,2122,https://stahlock.com/index.php?id=2122,1073S,Handing,Reversible for left or right hand doors,conflict,"Fully reversible, left or right hand",Handing: Reversible for left or right hand doors
1073s-night-latch-and-rim-lock,1073S,11,2122,https://stahlock.com/index.php?id=2122,1073S,Door Thickness,35–55mm standard (30–60mm optional),conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm standard (30–60mm optional)
1073s-night-latch-and-rim-lock,1073S,11,2122,https://stahlock.com/index.php?id=2122,1073S,Application,Residential use,new,,Application: Residential use
260-night-latch-and-rim-lock,260,9,2108,https://stahlock.com/index.php?id=2108,260,Cylinder Options,"Single / Double cylinder, with self-locking function",new,,"Cylinder Options: Single / Double cylinder, with self-locking function"
260-night-latch-and-rim-lock,260,9,2108,https://stahlock.com/index.php?id=2108,260,Handing,Fully reversible for left or right-hand doors,conflict,"Fully reversible, left or right hand",Handing: Fully reversible for left or right-hand doors
260-night-latch-and-rim-lock,260,9,2108,https://stahlock.com/index.php?id=2108,260,Door Thickness,35–55mm (1-3/8” to 2-3/16”),conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm (1-3/8” to 2-3/16”)
260-night-latch-and-rim-lock,260,9,2108,https://stahlock.com/index.php?id=2108,260,Backset,60mm (2-3/8”),new,,Backset: 60mm (2-3/8”)
300-panic-exit-device,300,4,1926,https://stahlock.com/index.php?id=1926,300,Material,Iron with ABS,conflict,Iron with ABS material.,Material: Iron with ABS
300-panic-exit-device,300,4,1926,https://stahlock.com/index.php?id=1926,300,Finish,"Painted (Red, Black, or customized)",conflict,painting red/ black or other finish also is available.,"Finish: Painted (Red, Black, or customized)"
300-panic-exit-device,300,4,1926,https://stahlock.com/index.php?id=1926,300,Bar Length,900mm (adjustable),new,,Bar Length: 900mm (adjustable)
300-panic-exit-device,300,4,1926,https://stahlock.com/index.php?id=1926,300,Fire Rating,1.5 hours,new,,Fire Rating: 1.5 hours
301-panic-exit-device,301,3,1927,https://stahlock.com/index.php?id=1927,301,Finish,"Spray-painted silver, powder-coated iron",new,,"Finish: Spray-painted silver, powder-coated iron"
301-panic-exit-device,301,3,1927,https://stahlock.com/index.php?id=1927,301,Standard Length,1040mm (adjustable),new,,Standard Length: 1040mm (adjustable)
301-panic-exit-device,301,3,1927,https://stahlock.com/index.php?id=1927,301,Certification,"CE, Fire-rated EN1125 (2-hour fireproof)",new,,"Certification: CE, Fire-rated EN1125 (2-hour fireproof)"
302-panic-exit-device,302,3,1928,https://stahlock.com/index.php?id=1928,302,Material,Stainless Steel,conflict,Stainless steel+Iron,Material: Stainless Steel
302-panic-exit-device,302,3,1928,https://stahlock.com/index.php?id=1928,302,Finish,Painted,conflict,Painting,Finish: Painted
302-panic-exit-device,302,3,1928,https://stahlock.com/index.php?id=1928,302,Length,1040mm (adjustable),conflict,1040mm(length can be adjusted),Length: 1040mm (adjustable)
302-panic-exit-device,302,3,1928,https://stahlock.com/index.php?id=1928,302,Certification,CE Certified,new,,Certification: CE Certified
302-panic-exit-device,302,3,1928,https://stahlock.com/index.php?id=1928,302,Handling,Fully reversible for left or right-hand doors,new,,Handling: Fully reversible for left or right-hand doors
302-panic-exit-device,302,3,1928,https://stahlock.com/index.php?id=1928,302,Customization,Available,new,,Customization: Available
303-panic-exit-device,303,0,1929,https://stahlock.com/index.php?id=1929,303,Material,Steel or stainless steel,new,,Material: Steel or stainless steel
303-panic-exit-device,303,0,1929,https://stahlock.com/index.php?id=1929,303,Inner Material,Iron,new,,Inner Material: Iron
303-panic-exit-device,303,0,1929,https://stahlock.com/index.php?id=1929,303,Length,900mm,new,,Length: 900mm
303-panic-exit-device,303,0,1929,https://stahlock.com/index.php?id=1929,303,Finish Options,"Satin nickel, chrome, antique brass, polished brass, etc.",new,,"Finish Options: Satin nickel, chrome, antique brass, polished brass, etc."
303-panic-exit-device,303,0,1929,https://stahlock.com/index.php?id=1929,303,Usage,Building industry machinery,new,,Usage: Building industry machinery
307-panic-exit-device,307,4,1916,https://stahlock.com/index.php?id=1916,307,Material,ABS body with aluminum push bar,conflict,ABS material with Aluminum push bar,Material: ABS body with aluminum push bar
307-panic-exit-device,307,4,1916,https://stahlock.com/index.php?id=1916,307,Fire Rating,2.5 hours fire-resistant,new,,Fire Rating: 2.5 hours fire-resistant
307-panic-exit-device,307,4,1916,https://stahlock.com/index.php?id=1916,307,Door Compatibility,Fully reversible for left or right-hand doors,new,,Door Compatibility: Fully reversible for left or right-hand doors
309-s-s-panic-exit-device,309-S,1,1920,https://stahlock.com/index.php?id=1920,309-S,Material,Aluminum alloy and iron,conflict,Aluminium alloy and iron,Material: Aluminum alloy and iron
309-s-s-panic-exit-device,309-S,1,1920,https://stahlock.com/index.php?id=1920,309-S,Finish,Powder-coated (static paint),new,,Finish: Powder-coated (static paint)
309-s-s-panic-exit-device,309-S,1,1920,https://stahlock.com/index.php?id=1920,309-S,Standard Length,750mm,new,,Standard Length: 750mm
309-s-s-panic-exit-device,309-S,1,1920,https://stahlock.com/index.php?id=1920,309-S,Certification,"CE, Fire-rated EN1125",new,,"Certification: CE, Fire-rated EN1125"
310-panic-exit-device,310,5,1923,https://stahlock.com/index.php?id=1923,310,Finish,Painted,conflict,Painting,Finish: Painted
310-panic-exit-device,310,5,1923,https://stahlock.com/index.php?id=1923,310,Length,900mm (adjustable),conflict,900MM,Length: 900mm (adjustable)
310-panic-exit-device,310,5,1923,https://stahlock.com/index.php?id=1923,310,Color Options,"Red, Black",new,,"Color Options: Red, Black"
310-panic-exit-device,310,5,1923,https://stahlock.com/index.php?id=1923,310,Fire Rating,1.5 hours,new,,Fire Rating: 1.5 hours
310-panic-exit-device,310,5,1923,https://stahlock.com/index.php?id=1923,310,Certification,CE marked,new,,Certification: CE marked
311-panic-exit-device,311,1,1917,https://stahlock.com/index.php?id=1917,311,Material,ABS plastic with aluminum components,conflict,ABS plastic material with Aluminum,• Material: ABS plastic with aluminum components
311-panic-exit-device,311,1,1917,https://stahlock.com/index.php?id=1917,311,Set Includes,"311 push bar, lock body, brass cylinder, stainless steel handle",new,,"• Set Includes: 311 push bar, lock body, brass cylinder, stainless steel handle"
311-panic-exit-device,311,1,1917,https://stahlock.com/index.php?id=1917,311,Bar Length,900mm,new,,• Bar Length: 900mm
311-panic-exit-device,311,1,1917,https://stahlock.com/index.php?id=1917,311,Fire Door Compatible,Suitable for single-leaf or fire-rated doors,new,,• Fire Door Compatible: Suitable for single-leaf or fire-rated doors
311-panic-exit-device,311,1,1917,https://stahlock.com/index.php?id=1917,311,2. Dual center distances,72mm & 92mm (with cylinder hole),new,,2. Dual center distances: 72mm & 92mm (with cylinder hole)
313-panic-exit-device,313,3,2401,https://stahlock.com/index.php?id=2401,313,Push Bar Material,Aluminium,new,,Push Bar Material: Aluminium
313-panic-exit-device,313,3,2401,https://stahlock.com/index.php?id=2401,313,Color Options,Different colors available (customizable),new,,Color Options: Different colors available (customizable)
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,Operation,Push to Open,new,,* Operation: Push to Open
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,Locking System,Top & Bottom Latching,new,,* Locking System: Top & Bottom Latching
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,Housing Material,Flame-Retardant ABS,new,,* Housing Material: Flame-Retardant ABS
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,Main Body Material,Aluminum Alloy,new,,* Main Body Material: Aluminum Alloy
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,Push Bar Material,Iron,new,,* Push Bar Material: Iron
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,Latch Material,Thickened Iron,new,,* Latch Material: Thickened Iron
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,Outside Lever,Optional (Not Included in the Listed Price),new,,* Outside Lever: Optional (Not Included in the Listed Price)
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,Opening Direction,Left & Right Reversible,new,,* Opening Direction: Left & Right Reversible
316-d-panic-exit-device,316-D,3,2434,https://stahlock.com/index.php?id=2434,316-D,OEM & ODM,Available,new,,* OEM & ODM: Available
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,Operation,Push to Open,new,,Operation: Push to Open
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,Housing Material,Flame-Retardant ABS,new,,Housing Material: Flame-Retardant ABS
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,Main Body Material,Aluminum Alloy,new,,Main Body Material: Aluminum Alloy
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,Push Bar Material,Iron,new,,Push Bar Material: Iron
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,Latch Material,Thickened Iron,new,,Latch Material: Thickened Iron
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,Outside Lever,Optional (Not Included in the Listed Price),new,,Outside Lever: Optional (Not Included in the Listed Price)
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,Opening Direction,Left & Right Reversible,new,,Opening Direction: Left & Right Reversible
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,Available Versions,Single Door / Double Door,new,,Available Versions: Single Door / Double Door
316-s-panic-exit-device,316-S,3,2433,https://stahlock.com/index.php?id=2433,316-S,OEM & ODM,Available,new,,OEM & ODM: Available
330-panic-exit-device,330,4,1925,https://stahlock.com/index.php?id=1925,330,Material,Iron + Iron Tube,conflict,Iron+Iron tube,Material: Iron + Iron Tube
330-panic-exit-device,330,4,1925,https://stahlock.com/index.php?id=1925,330,Color Options,"Red, Black",new,,"Color Options: Red, Black"
330-panic-exit-device,330,4,1925,https://stahlock.com/index.php?id=1925,330,Length,Customizable per request,conflict,Different length according to customer request,Length: Customizable per request
330-panic-exit-device,330,4,1925,https://stahlock.com/index.php?id=1925,330,Certification,"CE marked, EN1125",new,,"Certification: CE marked, EN1125"
47bsik-lock-cylinder,47BSIK,1,1997,https://stahlock.com/index.php?id=1997,47 BSIK,Size,47mm,new,,Size: 47mm
47bsik-lock-cylinder,47BSIK,1,1997,https://stahlock.com/index.php?id=1997,47 BSIK,Keys,3 or 5 keys available,new,,Keys: 3 or 5 keys available
556-night-latch-and-rim-lock,556,9,2111,https://stahlock.com/index.php?id=2111,556,Material,Iron case with zinc-plated steel internal components; painted finish,conflict,iron,Material: Iron case with zinc-plated steel internal components; painted finish
556-night-latch-and-rim-lock,556,9,2111,https://stahlock.com/index.php?id=2111,556,Cylinder Options,Single or double cylinder with self-locking function,new,,Cylinder Options: Single or double cylinder with self-locking function
556-night-latch-and-rim-lock,556,9,2111,https://stahlock.com/index.php?id=2111,556,Handing,Fully reversible for left or right-hand doors,conflict,"Fully reversible, left or right hand",Handing: Fully reversible for left or right-hand doors
556-night-latch-and-rim-lock,556,9,2111,https://stahlock.com/index.php?id=2111,556,Door Thickness,35–55mm (1-3/8” to 2-3/16”),conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm (1-3/8” to 2-3/16”)
556-night-latch-and-rim-lock,556,9,2111,https://stahlock.com/index.php?id=2111,556,Backset,60mm (2-3/8”),new,,Backset: 60mm (2-3/8”)
558-night-latch-and-rim-lock,558,9,2112,https://stahlock.com/index.php?id=2112,558,Material,Iron case with zinc-plated steel internal parts; painted finish,conflict,iron,Material: Iron case with zinc-plated steel internal parts; painted finish
558-night-latch-and-rim-lock,558,9,2112,https://stahlock.com/index.php?id=2112,558,Structure,Beveled latch design,new,,Structure: Beveled latch design
558-night-latch-and-rim-lock,558,9,2112,https://stahlock.com/index.php?id=2112,558,Cylinder Options,Single or double cylinder with self-locking function,new,,Cylinder Options: Single or double cylinder with self-locking function
558-night-latch-and-rim-lock,558,9,2112,https://stahlock.com/index.php?id=2112,558,Handing,Fully reversible for left or right-hand doors,conflict,"Fully reversible, left or right hand",Handing: Fully reversible for left or right-hand doors
558-night-latch-and-rim-lock,558,9,2112,https://stahlock.com/index.php?id=2112,558,Door Thickness,35–55mm (1-3/8” to 2-3/16”),conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm (1-3/8” to 2-3/16”)
558-night-latch-and-rim-lock,558,9,2112,https://stahlock.com/index.php?id=2112,558,Backset,60mm (2-3/8”),new,,Backset: 60mm (2-3/8”)
559-night-latch-and-rim-lock,559,9,2110,https://stahlock.com/index.php?id=2110,559,Material,Iron case with zinc-plated steel internal components; painted finish,conflict,Iron,Material: Iron case with zinc-plated steel internal components; painted finish
559-night-latch-and-rim-lock,559,9,2110,https://stahlock.com/index.php?id=2110,559,Cylinder Options,"Single or double brass cylinder, with self-locking function",new,,"Cylinder Options: Single or double brass cylinder, with self-locking function"
559-night-latch-and-rim-lock,559,9,2110,https://stahlock.com/index.php?id=2110,559,Handing,Fully reversible for left or right-hand doors,conflict,"Fully reversible, left or right hand",Handing: Fully reversible for left or right-hand doors
559-night-latch-and-rim-lock,559,9,2110,https://stahlock.com/index.php?id=2110,559,Door Thickness,35–55mm (1-3/8” to 2-3/16”),conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm (1-3/8” to 2-3/16”)
559-night-latch-and-rim-lock,559,9,2110,https://stahlock.com/index.php?id=2110,559,Backset,60mm (2-3/8”),new,,Backset: 60mm (2-3/8”)
564-night-latch-and-rim-lock,564,11,2106,https://stahlock.com/index.php?id=2106,564,Structure,Beveled latch structure,new,,Structure: Beveled latch structure
564-night-latch-and-rim-lock,564,11,2106,https://stahlock.com/index.php?id=2106,564,Body,"Zinc die-cast outer case, zinc-plated steel internal components",new,,"Body: Zinc die-cast outer case, zinc-plated steel internal components"
564-night-latch-and-rim-lock,564,11,2106,https://stahlock.com/index.php?id=2106,564,Door Thickness,35–55mm,conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm
564-night-latch-and-rim-lock,564,11,2106,https://stahlock.com/index.php?id=2106,564,Backset,60mm (2-3/8”),conflict,"2-3/8"" (60mm)",Backset: 60mm (2-3/8”)
564-night-latch-and-rim-lock,564,11,2106,https://stahlock.com/index.php?id=2106,564,Deadbolt,25mm full-throw rim deadbolt,new,,Deadbolt: 25mm full-throw rim deadbolt
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Product Type,Anti-Theft Rim Lock / Night Latch,new,,• Product Type: Anti-Theft Rim Lock / Night Latch
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Lock Body Material,Zinc Alloy,new,,• Lock Body Material: Zinc Alloy
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Latch Bolt Material,Zinc Alloy,new,,• Latch Bolt Material: Zinc Alloy
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Thumbturn Button,Brass,new,,• Thumbturn Button: Brass
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Lock Cylinder Housing,Aluminum,new,,• Lock Cylinder Housing: Aluminum
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Cylinder Core,Brass,new,,• Cylinder Core: Brass
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Tail Bar,Iron,new,,• Tail Bar: Iron
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Cylinder Decorative Ring,Iron,new,,• Cylinder Decorative Ring: Iron
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Keys,Iron,new,,• Keys: Iron
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Decorative Plate,Iron,new,,• Decorative Plate: Iron
564-mb-night-latch-and-rim-lock,564 MB,11,2413,https://stahlock.com/index.php?id=2413,564 MB,Screws,Iron,new,,• Screws: Iron
5681-night-latch-and-rim-lock,5681,10,2114,https://stahlock.com/index.php?id=2114,5681,Material,Iron case with brass latch and 3 brass keys,conflict,"Iron case, with 3 pcs brass keys , brass latch.",Material: Iron case with brass latch and 3 brass keys
5681-night-latch-and-rim-lock,5681,10,2114,https://stahlock.com/index.php?id=2114,5681,Opening,Double-sided,new,,Opening: Double-sided
5681-night-latch-and-rim-lock,5681,10,2114,https://stahlock.com/index.php?id=2114,5681,Handing,Reversible for left or right hand doors,conflict,"Fully reversible, left or right hand",Handing: Reversible for left or right hand doors
5681-night-latch-and-rim-lock,5681,10,2114,https://stahlock.com/index.php?id=2114,5681,Door Thickness,"Standard 35–55mm, optional 30–60mm",conflict,35mm to 55mm standard; 30mm to 60mm on request,"Door Thickness: Standard 35–55mm, optional 30–60mm"
5682-night-latch-and-rim-lock,5682,10,2115,https://stahlock.com/index.php?id=2115,5682,Material,"Iron case, zinc alloy latch and cylinder, with 3 brass keys",conflict,"Iron case, with 3 pcs brass keys , zinc alloy latch and cylinder","Material: Iron case, zinc alloy latch and cylinder, with 3 brass keys"
5682-night-latch-and-rim-lock,5682,10,2115,https://stahlock.com/index.php?id=2115,5682,Opening,Double-sided,new,,Opening: Double-sided
5682-night-latch-and-rim-lock,5682,10,2115,https://stahlock.com/index.php?id=2115,5682,Handing,Reversible for left or right hand doors,conflict,"Fully reversible, left or right hand",Handing: Reversible for left or right hand doors
5682-night-latch-and-rim-lock,5682,10,2115,https://stahlock.com/index.php?id=2115,5682,Door Thickness,35–55mm standard; 30–60mm optional,conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm standard; 30–60mm optional
5683-night-latch-and-rim-lock,5683,10,2116,https://stahlock.com/index.php?id=2116,5683,Material,Iron case with zinc-plated steel internal components,conflict,Iron,Material: Iron case with zinc-plated steel internal components
5683-night-latch-and-rim-lock,5683,10,2116,https://stahlock.com/index.php?id=2116,5683,Opening,Double side,new,,Opening: Double side
5683-night-latch-and-rim-lock,5683,10,2116,https://stahlock.com/index.php?id=2116,5683,Handing,Reversible for left or right hand doors,conflict,"Fully reversible, left or right hand",Handing: Reversible for left or right hand doors
5683-night-latch-and-rim-lock,5683,10,2116,https://stahlock.com/index.php?id=2116,5683,Door Thickness,35–55mm standard; 30–60mm optional,conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm standard; 30–60mm optional
5683-night-latch-and-rim-lock,5683,10,2116,https://stahlock.com/index.php?id=2116,5683,Backset,60mm (2-3/8”),conflict,2-3/8＂(60mm),Backset: 60mm (2-3/8”)
5683-night-latch-and-rim-lock,5683,10,2116,https://stahlock.com/index.php?id=2116,5683,Usage,Residential,new,,Usage: Residential
5688-night-latch-and-rim-lock,5688,10,2118,https://stahlock.com/index.php?id=2118,5688,Material,"Iron case with steel base, zinc-plated finish",conflict,Iron case,"Material: Iron case with steel base, zinc-plated finish"
5688-night-latch-and-rim-lock,5688,10,2118,https://stahlock.com/index.php?id=2118,5688,Size,100×100mm,conflict,100*100mm,Size: 100×100mm
5688-night-latch-and-rim-lock,5688,10,2118,https://stahlock.com/index.php?id=2118,5688,Door Thickness,35–55mm,conflict,35mm to 55mm standard; 30mm to 60mm on request,Door Thickness: 35–55mm
5688-night-latch-and-rim-lock,5688,10,2118,https://stahlock.com/index.php?id=2118,5688,Accessories,Includes installation screws,new,,Accessories: Includes installation screws
5688-night-latch-and-rim-lock,5688,10,2118,https://stahlock.com/index.php?id=2118,5688,Customization,OEM & ODM available,new,,Customization: OEM & ODM available
